561060.38 622541.75 40.1
561059.23 622596.74 39.1
561060.94 622922.66 38.4
561061.07 622955.01 38.8
561059.66 623289.91 38.9
561060.84 623496.12 38.8
561063.63 621489.07 37.3
561064.64 621520.27 37.8
561063.17 621918.49 38.5
561062.31 622196.35 36.5
561062.94 622227.52 36.8
561062.31 622754.78 38.4
561062.71 623001.23 39.1
561062.45 623258.06 38.7
561063.33 623352.94 38.6
561067.47 621073.29 36.5
561065.46 621130.57 36.5
561066.38 621560.88 37.4
561065.14 621682.08 39.1
561064.87 621886.74 38.6
561066.58 622038.57 36.9
561067.79 622888.47 37.7
561065.82 623032.24 39.6
561066.09 623175.58 39.2
561066.51 623210.42 38.8
561066.84 623427.68 38.5
561065.79 623461.14 38.6
561070.09 621214.56 37.3
561068.12 621412.88 36.3
561068.02 621457.44 36.0
561068.91 621623.55 37.7
561070.39 622856.71 37.4
561069.89 623139.09 39.1
561069.24 623395.52 38.1
561071.86 622143.49 36.8
561071.89 622374.86 37.8
561072.42 622705.43 37.9
561075.27 621747.56 38.1
561074.98 621947.96 38.6
561076.68 622420.43 38.2
561075.11 622658.98 38.1
561075.18 622819.21 37.5
561074.13 623063.05 38.9
561075.37 623109.57 38.9
561079.77 621589.13 37.9
561078.23 622323.91 37.1
561077.77 622510.45 38.9
561081.11 621285.88 36.7
561080.10 621654.91 38.2
561080.13 621857.67 38.8
561082.69 622273.51 37.0
561081.28 622788.34 37.6
561081.87 622977.28 38.4
561083.11 621105.27 36.8
561082.95 621361.38 37.0
561083.77 621708.00 38.1
561082.92 621987.62 38.1
561083.74 622479.65 39.2
561085.41 623306.81 37.3
561086.46 620947.89 36.7
561085.87 621018.63 36.6
561088.00 621826.47 38.5
561086.59 622094.28 36.5
561087.12 623235.58 37.2
561087.61 623371.12 37.4
561091.71 621050.09 37.5
561090.33 621163.11 37.4
561090.96 621437.06 36.4
561091.48 621504.62 37.9
561090.79 622017.80 37.4
561090.20 622565.18 39.0
561088.92 622738.90 37.8
561089.81 623271.51 37.0
561090.23 623488.14 37.1
561093.29 620987.82 37.0
561093.19 621193.27 38.1
561092.37 621775.38 38.8
561094.30 621896.91 39.0
561093.02 622203.53 36.6
561092.53 622632.44 38.3
561094.11 622926.92 37.8
561093.29 623016.23 38.4
561093.68 623161.96 37.4
561092.01 623193.00 37.1
561097.29 621228.76 37.8
561097.32 621318.36 37.1
561095.25 621547.83 37.9
561096.60 622064.75 36.8
561096.50 622173.28 36.6
561096.83 622246.28 36.6
561096.50 622446.81 38.7
561094.89 623339.69 37.2
561095.65 623418.13 37.1
